state,district,year,congress_nbr,vote
NY,1,1804,9,2900
NY,1,1806,10,1512
NY,1,1808,11,4253
NY,1,1810,12,3618
NY,1,1812,13,13943
NY,1,1814,14,15759
NY,1,1816,15,14139
NY,1,1818,16,8480
NY,1,1822,18,2738
NY,1,1824,19,3539
NY,2,1789,1,2947
NY,2,1790,2,702
NY,2,1793,3,2579
NY,2,1794,4,2114
NY,2,1796,5,4174
NY,2,1798,6,3293
NY,2,1800,7,4283
NY,2,1802,8,2504
NY,2,1808,11,21744
NY,2,1810,12,23619
NY,2,1812,13,15357
NY,2,1814,14,17409
NY,2,1816,15,17997
NY,2,1818,16,9042
NY,2,1821,17,13456
NY,2,1822,18,1928
NY,2,1824,19,3168
NY,3,1789,1,1158
NY,3,1790,2,1191
NY,3,1793,3,1781
NY,3,1794,4,1963
NY,3,1796,5,2019
NY,3,1798,6,2169
NY,3,1800,7,3613
NY,3,1802,8,767
NY,3,1808,11,4605
NY,3,1810,12,6187
NY,3,1812,13,3280
NY,3,1814,14,3314
NY,3,1816,15,3152
NY,3,1818,16,2488
NY,3,1821,17,3527
NY,3,1822,18,13061
NY,3,1824,19,27544
NY,4,1790,2,1728
NY,4,1793,3,3096
NY,4,1794,4,2539
NY,4,1796,5,3451
NY,4,1798,6,4294
NY,4,1802,8,1605
NY,4,1804,9,2393
NY,4,1806,10,2127
NY,4,1808,11,2200
NY,4,1810,12,6119
NY,4,1812,13,3489
NY,4,1814,14,3922
NY,4,1816,15,4811
NY,4,1818,16,2758
NY,4,1821,17,4922
NY,4,1822,18,3228
NY,4,1824,19,4076
NY,5,1789,1,3179
NY,5,1790,2,2930
NY,5,1793,3,1836
NY,5,1794,4,2145
NY,5,1796,5,2238
NY,5,1798,6,2694
NY,5,1800,7,3237
NY,5,1802,8,1598
NY,5,1804,9,2218
NY,5,1806,10,2218
NY,5,1808,11,4753
NY,5,1810,12,5873
NY,5,1812,13,2076
NY,5,1814,14,4990
NY,5,1816,15,5363
NY,5,1818,16,3977
NY,5,1821,17,6001
NY,5,1822,18,4392
NY,5,1824,19,6806
NY,6,1789,1,2671
NY,6,1790,2,2482
NY,6,1793,3,2781
NY,6,1794,4,2028
NY,6,1796,5,1810
NY,6,1798,6,4754
NY,6,1800,7,4556
NY,6,1802,8,2829
NY,6,1804,9,3959
NY,6,1806,10,1226
NY,6,1808,11,24775
NY,6,1810,12,28816
NY,6,1812,13,2421
NY,6,1814,14,3007
NY,6,1816,15,2908
NY,6,1818,16,1334
NY,6,1821,17,3502
NY,6,1822,18,3808
NY,6,1824,19,4457
NY,7,1793,3,1453
NY,7,1794,4,1407
NY,7,1796,5,618
NY,7,1798,6,4185
NY,7,1800,7,5933
NY,7,1802,8,2506
NY,7,1804,9,3940
NY,7,1806,10,2968
NY,7,1808,11,4124
NY,7,1810,12,5492
NY,7,1812,13,3118
NY,7,1814,14,3459
NY,7,1816,15,3532
NY,7,1818,16,1380
NY,7,1821,17,4718
NY,7,1822,18,5018
NY,7,1824,19,5700
NY,8,1793,3,2047
NY,8,1794,4,720
NY,8,1796,5,2835
NY,8,1798,6,2652
NY,8,1800,7,2955
NY,8,1802,8,3148
NY,8,1804,9,3562
NY,8,1806,10,3472
NY,8,1808,11,3878
NY,8,1810,12,6215
NY,8,1812,13,4300
NY,8,1814,14,4183
NY,8,1816,15,4276
NY,8,1818,16,3247
NY,8,1821,17,4411
NY,8,1822,18,4596
NY,8,1824,19,5221
NY,9,1793,3,2780
NY,9,1794,4,2681
NY,9,1796,5,2119
NY,9,1798,6,5628
NY,9,1800,7,6629
NY,9,1802,8,2106
NY,9,1804,9,3365
NY,9,1806,10,2736
NY,9,1808,11,5765
NY,9,1810,12,6960
NY,9,1812,13,1261
NY,9,1814,14,2782
NY,9,1816,15,3883
NY,9,1818,16,2010
NY,9,1821,17,4199
NY,9,1822,18,6082
NY,9,1824,19,6747
NY,10,1793,3,3423
NY,10,1794,4,4454
NY,10,1796,5,6008
NY,10,1798,6,3903
NY,10,1800,7,6071
NY,10,1802,8,2556
NY,10,1804,9,3347
NY,10,1806,10,2513
NY,10,1808,11,4465
NY,10,1810,12,6992
NY,10,1812,13,2214
NY,10,1814,14,4427
NY,10,1818,16,4246
NY,10,1821,17,5141
NY,10,1822,18,2734
NY,10,1824,19,3867
NY,11,1802,8,2796
NY,11,1804,9,2995
NY,11,1806,10,3519
NY,11,1808,11,6868
NY,11,1810,12,7773
NY,11,1812,13,4203
NY,11,1814,14,3700
NY,11,1816,15,3370
NY,11,1818,16,3171
NY,11,1821,17,4395
NY,11,1822,18,5886
NY,11,1824,19,6156
NY,12,1802,8,3489
NY,12,1804,9,3383
NY,12,1806,10,1703
NY,12,1808,11,4470
NY,12,1810,12,7075
NY,12,1812,13,14767
NY,12,1814,14,16199
NY,12,1816,15,17536
NY,12,1821,17,18385
NY,12,1822,18,4503
NY,12,1824,19,5004
NY,13,1802,8,3756
NY,13,1804,9,3306
NY,13,1806,10,4078
NY,13,1808,11,4707
NY,13,1812,13,3365
NY,13,1814,14,3710
NY,13,1816,15,3908
NY,13,1818,16,3820
NY,13,1821,17,4549
NY,13,1822,18,2376
NY,13,1824,19,5744
NY,14,1802,8,3119
NY,14,1806,10,3186
NY,14,1808,11,4702
NY,14,1810,12,6576
NY,14,1814,14,4864
NY,14,1816,15,5076
NY,14,1818,16,3596
NY,14,1821,17,5098
NY,14,1822,18,5324
